customer_id,Clothing,Cosmetic,Electronics,Market,Restaurant,Travel
29,0.0,0.0,0.0,0.0,1.0,0.0
51,0.0,0.0,0.0,0.0,0.0,1.0
54,1.0,0.0,0.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,1.0,0.0
105,0.0,0.0,0.0,0.0,1.0,0.0
110,1.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,1.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,1.0
154,0.0,0.0,0.0,1.0,0.0,0.0
183,0.0,0.0,0.0,0.0,1.0,0.0
238,0.0,0.0,0.0,0.0,1.0,0.0
247,1.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,1.0,0.0,0.0,0.0
270,0.0,0.0,1.0,0.0,0.0,0.0
332,0.0,1.0,0.0,0.0,0.0,0.0
351,0.0,0.0,1.0,0.0,0.0,0.0
376,0.0,0.0,1.0,0.0,0.0,0.0
381,0.0,1.0,0.0,0.0,0.0,0.0
417,0.0,1.0,0.0,0.0,0.0,0.0
427,0.0,1.0,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,1.0,0.0,0.0
440,0.0,1.0,0.0,0.0,0.0,0.0
443,0.0,1.0,0.0,0.0,0.0,0.0
444,1.0,0.0,0.0,0.0,0.0,0.0
471,0.0,0.0,0.0,0.0,1.0,0.0
489,1.0,0.0,0.0,0.0,0.0,0.0
490,0.0,0.0,0.0,1.0,0.0,0.0
499,1.0,0.0,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,0.0,1.0,0.0
530,0.0,0.0,0.0,0.0,1.0,0.0
574,0.0,0.0,0.0,0.0,1.0,0.0
600,0.0,0.0,0.0,0.0,1.0,0.0
634,0.0,0.0,0.0,0.0,1.0,0.0
638,0.0,0.0,0.0,0.0,0.0,1.0
660,0.0,0.0,0.0,0.0,1.0,0.0
669,0.0,0.0,0.0,0.0,1.0,0.0
675,0.0,1.0,0.0,0.0,0.0,0.0
719,0.0,0.0,0.0,1.0,0.0,0.0
730,0.0,0.0,0.0,0.0,1.0,0.0
739,1.0,0.0,0.0,0.0,0.0,0.0
769,0.0,0.0,0.0,0.0,1.0,0.0
778,0.0,0.0,0.0,0.0,1.0,0.0
810,0.0,1.0,0.0,0.0,0.0,0.0
834,0.0,1.0,0.0,0.0,0.0,0.0
850,0.0,0.0,0.0,0.0,1.0,0.0
855,0.0,0.0,0.0,1.0,0.0,0.0
891,0.0,0.0,0.0,1.0,0.0,0.0
924,0.0,0.0,0.0,0.0,1.0,0.0
950,0.0,0.0,0.0,1.0,0.0,0.0
951,0.0,0.0,0.0,1.0,0.0,0.0
961,0.0,0.0,0.0,0.0,0.0,1.0
972,1.0,0.0,0.0,0.0,0.0,0.0
984,1.0,0.0,0.0,0.0,0.0,0.0
996,0.0,0.0,0.0,1.0,0.0,0.0
1006,0.0,0.0,0.0,0.0,0.0,1.0
1050,1.0,0.0,0.0,0.0,0.0,0.0
